"","age","production","language","n","prop_produced"
"439",23,426,"Spanish (European)",588,0.724489795918367
"440",23,58,"Spanish (European)",588,0.0986394557823129
"441",23,190,"Spanish (European)",588,0.32312925170068
"442",23,252,"Spanish (European)",588,0.428571428571429
"443",23,289,"Spanish (European)",588,0.491496598639456
"444",23,215,"Spanish (European)",588,0.365646258503401
"445",23,244,"Spanish (European)",588,0.414965986394558
"446",23,171,"Spanish (European)",588,0.290816326530612
"447",24,451,"Spanish (European)",588,0.767006802721088
"448",24,216,"Spanish (European)",588,0.36734693877551
"449",24,182,"Spanish (European)",588,0.30952380952381
"450",24,62,"Spanish (European)",588,0.105442176870748
"451",24,481,"Spanish (European)",588,0.818027210884354
"452",24,154,"Spanish (European)",588,0.261904761904762
"453",24,342,"Spanish (European)",588,0.581632653061224
"454",24,204,"Spanish (European)",588,0.346938775510204
"455",24,202,"Spanish (European)",588,0.343537414965986
"456",25,81,"Spanish (European)",588,0.137755102040816
"457",25,246,"Spanish (European)",588,0.418367346938776
"458",25,441,"Spanish (European)",588,0.75
"459",25,498,"Spanish (European)",588,0.846938775510204
"460",25,52,"Spanish (European)",588,0.0884353741496599
"461",26,312,"Spanish (European)",588,0.530612244897959
"462",26,116,"Spanish (European)",588,0.197278911564626
"463",26,166,"Spanish (European)",588,0.282312925170068
"464",26,358,"Spanish (European)",588,0.608843537414966
"465",26,255,"Spanish (European)",588,0.433673469387755
"466",27,402,"Spanish (European)",588,0.683673469387755
"467",26,306,"Spanish (European)",588,0.520408163265306
"468",26,426,"Spanish (European)",588,0.724489795918367
"469",26,360,"Spanish (European)",588,0.612244897959184
"470",26,281,"Spanish (European)",588,0.477891156462585
"471",27,234,"Spanish (European)",588,0.397959183673469
"472",16,60,"Spanish (European)",588,0.102040816326531
"473",16,21,"Spanish (European)",588,0.0357142857142857
"474",16,17,"Spanish (European)",588,0.0289115646258503
"475",16,30,"Spanish (European)",588,0.0510204081632653
"476",16,40,"Spanish (European)",588,0.0680272108843537
"477",17,23,"Spanish (European)",588,0.0391156462585034
"478",17,25,"Spanish (European)",588,0.0425170068027211
"479",18,48,"Spanish (European)",588,0.0816326530612245
"480",18,90,"Spanish (European)",588,0.153061224489796
"481",18,344,"Spanish (European)",588,0.585034013605442
"482",19,22,"Spanish (European)",588,0.0374149659863946
"483",18,243,"Spanish (European)",588,0.413265306122449
"484",19,175,"Spanish (European)",588,0.297619047619048
"485",19,16,"Spanish (European)",588,0.0272108843537415
"486",20,305,"Spanish (European)",588,0.518707482993197
"487",20,40,"Spanish (European)",588,0.0680272108843537
"488",20,59,"Spanish (European)",588,0.100340136054422
"489",21,99,"Spanish (European)",588,0.168367346938776
"490",21,87,"Spanish (European)",588,0.147959183673469
"491",21,101,"Spanish (European)",588,0.171768707482993
"492",21,147,"Spanish (European)",588,0.25
"493",21,133,"Spanish (European)",588,0.226190476190476
"494",21,16,"Spanish (European)",588,0.0272108843537415
"495",22,18,"Spanish (European)",588,0.0306122448979592
"496",22,337,"Spanish (European)",588,0.57312925170068
"497",22,307,"Spanish (European)",588,0.522108843537415
"498",23,416,"Spanish (European)",588,0.707482993197279
"499",23,420,"Spanish (European)",588,0.714285714285714
"500",24,451,"Spanish (European)",588,0.767006802721088
"501",24,247,"Spanish (European)",588,0.420068027210884
"502",24,454,"Spanish (European)",588,0.772108843537415
"503",24,343,"Spanish (European)",588,0.583333333333333
"504",25,181,"Spanish (European)",588,0.307823129251701
"505",25,493,"Spanish (European)",588,0.83843537414966
"506",26,285,"Spanish (European)",588,0.48469387755102
"507",26,479,"Spanish (European)",588,0.814625850340136
"508",26,109,"Spanish (European)",588,0.185374149659864
"509",26,239,"Spanish (European)",588,0.406462585034014
"510",26,491,"Spanish (European)",588,0.835034013605442
"511",26,373,"Spanish (European)",588,0.634353741496599
"512",26,517,"Spanish (European)",588,0.879251700680272
"513",26,487,"Spanish (European)",588,0.828231292517007
"514",27,520,"Spanish (European)",588,0.884353741496599
"515",27,513,"Spanish (European)",588,0.872448979591837
"516",27,185,"Spanish (European)",588,0.314625850340136
"517",27,558,"Spanish (European)",588,0.948979591836735
"518",27,525,"Spanish (European)",588,0.892857142857143
"519",27,143,"Spanish (European)",588,0.243197278911565
"520",28,576,"Spanish (European)",588,0.979591836734694
"521",28,219,"Spanish (European)",588,0.372448979591837
"522",28,90,"Spanish (European)",588,0.153061224489796
"523",28,311,"Spanish (European)",588,0.52891156462585
"524",28,505,"Spanish (European)",588,0.858843537414966
"525",28,355,"Spanish (European)",588,0.603741496598639
"526",29,506,"Spanish (European)",588,0.860544217687075
"527",29,185,"Spanish (European)",588,0.314625850340136
"528",29,540,"Spanish (European)",588,0.918367346938776
"529",29,404,"Spanish (European)",588,0.687074829931973
"530",29,238,"Spanish (European)",588,0.404761904761905
"531",29,400,"Spanish (European)",588,0.680272108843537
